Id;Firma;idn
1627;Geographische Anstalt von Velhagen & Klasing;[]
1628;Hennig & Grasmück;[]
1629;Gebrüder Dietrich;['1136395326']
1630;Gebrüder Dietrich;['1136395326']
1631;A. Gelber;[]
1632;Pöhnert & Co.;[]
1633;Pöhnert & Co.;[]
1634;Walter Karnahl;[]
1635;Johannes Kratz;['1046829017']
1636;Johannes Kratz;['1046829017']
1637;Felix Böttcher;['5069958-1']
1638;Friedrich August Lischke;[]
1639;Paul Lissel;[]
1640;Georg Sicker;[]
1641;Rudolph Wagner;[]
1642;Liebich & Kuntze;[]
1643;Liebich & Kuntze;[]
1644;Hugo Meinige;[]
1645;C. Wittstock;[]
1646;C. Wittstock;[]
1647;C. Wittstock;[]
1648;Stein- und Keramische Buntdruckerei G.m.b.H.;[]
1649;Albert Oesterreicher;[]
1650;Albert Oesterreicher;[]
1651;J. Stehmann;[]
1652;Max Nierth;['1067021167']
1653;Max Nierth;['1067021167']
1654;Wiener & Co.;[]
1655;Max Müller;['1072998114']
1656;Aarland & Müller;[]
1657;Aarland & Müller;[]
1658;J. D. Neranzi;[]
1659;Bernhard Franke;[]
1660;Bernhard Franke;[]
1661;Gäbisch & Co.;[]
1662;Gäbisch & Co.;[]
1663;Louis Gerstner;['1121241859']
1664;Louis Gerstner;['1121241859']
1665;Louis Gerstner;['1121241859']
1666;Albert Hiekel;[]
1667;Paul Liedl;[]
1668;G. Rebner & Co.;[]
1669;G. Rebner & Co.;[]
1670;Alois Klimke;[]
1671;Rohland & Reupke;[]
1672;A. Täubert;[]
1673;Max Voigt;[]
1674;F. M. Haage;[]
1675;Joh. Marie Wittig;[]
1676;Rudolf Max Altner;[]
1677;Richard Braune;[]
1678;Robert Gebauer Nachf.;[]
1679;Gustav Burckhardt;[]
1680;Geißler, Amanda;[]
1681;Albert Müller;['1072479222']
1682;Albert Müller;['1072479222']
1683;Max Neumann;[]
1684;Julius Sorst;[]
1685;Alfred Weber;['1132166772']
1686;Alb. Müller & Barheine;[]
1687;Theodor Weger (vorm. August Weger sen.);[]
1688;Sophie Berta Meyer;[]
1689;Sophie Berta Meyer;[]
1690;Lina Schlierf;[]
1691;Heinrich Seidel;[]
1692;Hermann Waldapfel;[]
1693;Leipziger Ansichtskarten-Fabrik, Paul Trabert;[]
1694;Emil Pinkau & Co., Aktiengesellschaft;[]
1695;Emil Pinkau & Co., Aktiengesellschaft;[]
1696;C. Kloberg;['10175251-9']
1697;C. Kloberg;['10175251-9']
1698;C. Kloberg;['10175251-9']
1699;W. Benicke;['1072959267']
1700;W. Benicke;['1072959267']
1701;W. Benicke;['1072959267']
1702;Kirbach, Rudolph;[]
1703;Engelmann & Mühlberg;[]
1704;Engelmann & Mühlberg;[]
1705;Franz Edel;[]
1706;F. W. Garbrecht's Nachfolger, Oscar Brandstetter;[]
1707;Paul Raap;[]
1708;A. B. Cramer;[]
1709;A. B. Cramer;[]
1710;W. Bilina;[]
1711;Genzsch & Heyse, Hamburg;[]
1712;Theodor Hentzschel;[]
1713;Wilhelm Neugebauer;[]
1714;J. G. Schelter & Giesecke;[]
1715;J. G. Schelter & Giesecke;[]
1716;J. G. Schelter & Giesecke;[]
1717;J. G. Schelter & Giesecke;[]
1718;J. G. Schelter & Giesecke;[]
1719;Paul Pürst;[]
1720;Gebr. Nens;[]
1721;Wilhelm Riese;[]
1722;Fritz Tutzschke;[]
1723;Paul Buchheim;[]
1724;Gebrüder Brehmer;['10127106-2', '5280286-3']
1725;Buchbinderei- u. Kartonagen-Maschinenbau-Gesellschaft m.b.H.;[]
1726;Dammann, Wilhelm;[]
1727;Deutsche Maschinen- und Papier-Industrie-Werke G.m.b.H.;[]
1728;Dietz & Listing;[]
1729;A. Flaskämper;[]
1730;Förste & Tromm;[]
1731;August Fomm;['5553152-0']
1732;August Fomm;['5553152-0']
1733;K. Gebler;[]
1734;Herfurth & Heyden;[]
1735;Bruno Geyer;[]
1736;A. Hogenforst;['107290263X']
1737;O. Hoppe & Co. Nachf.;[]
1738;Emil Kahle;[]
1739;Kleim & Ungerer;[]
1740;Kohlbach & Co. G.m.b.H.;[]
1741;Koenigs Bogenanleger;[]
1742;Karl Krause;['5262951-X', '6051760-8']
1743;C. L. Lasch & Co.;[]
1744;Leipziger Schnellpressenfabrik, Aktien-Gesellschaft, vorm. Schmiers, Werner & Stein;[]
1745;Chn. Mansfeld;['3043646-1']
1746;Mittmann, Curt;[]
1747;Peusse & Co.;[]
1748;G. E. Reinhardt;[]
1749;Wilhelm Scheibe;[]
1750;Walterwerke Maschinenfabrik m.b.H.;[]
1751;Drahtheftmaschinen-Fabrik Wilh. Mallien;[]
1752;Boehme, Rudolph;[]
1753;Leipziger Tangier-Manier, Alexander Grube;[]
1754;A. Wetzig;[]
1755;Bartsch, Alfred;[]
1756;Becker & Naumann;[]
1757;Max Bergmann;[]
1758;Borrmann, Oscar;[]
1759;Max Brüggemann;[]
1760;Hans Bruhn;[]
1761;Max Burger;[]
1762;Buschmann & Fließbach;[]
1763;Curt Dietrich;['6100934-9']
1764;Richard Frenzel;['1072887657']
1765;Carl Garte;['1023235684', '1073023362', '1087500729']
1766;Göhlitz, Edmund;[]
1767;Graphische Kunstanstalt Gebrüder Arnold;[]
1768;Hermann Haack;['4032129-0']
1769;Hermann Haack;['4032129-0']
1770;Ernst Haase;[]
1771;Heß & Seyfert;[]
1772;Heß & Seyfert;[]
1773;Heß & Seyfert;[]
1774;Apffelstaedt & Co.;[]
1775;Emil Hesse;[]
1776;Hilbig, Robert;[]
1777;Max Jahr;[]
1778;H. F. Jütte;[]
1779;Robert Kathmann & Co.;[]
1780;Paul Keller;[]
1781;Hans Meyer;['7513757-4']
1782;Rich. Kluge;[]
1783;Oskar Koch;[]
1784;Kohl & Damm Nachf.;[]
1785;Kohl & Damm Nachf.;[]
1786;C. Kirst;[]
1787;Kunstdruck- u. Verlagsanstalt Wezel & Nauman, Aktiengesellschaft;[]
1788;Kunstdruck- u. Verlagsanstalt Wezel & Nauman, Aktiengesellschaft;[]
1789;Kunstdruck- u. Verlagsanstalt Wezel & Nauman, Aktiengesellschaft;[]
1790;Emil Langheinrich;[]
1791;Bernhard Lengner;[]
1792;Adolph Lösche Lithographische Kunst-Anstalt;[]
1793;Adolph Lösche Lithographische Kunst-Anstalt;[]
1794;Richard Maeder;[]
1795;Schulze & Co.;[]
1796;Richard Lübeck;[]
1797;Arthur Mädicke;[]
1798;Martini, Albert;[]
1799;Otto Paul Marx;['1072987872']
1800;Meißner & Buch;[]
1801;Mitteldeutsche graphische Kunstanstalt Wilhelm Bartel;[]
1802;Mitteldeutsche graphische Kunstanstalt Wilhelm Bartel;[]
1803;Alfred Müller;['1072996154']
1804;G. Alfred Müller;[]
1805;Alfred Müller-Holstein;[]
1806;Alfred Naumann;[]
1807;Max Neubauer;[]
1808;Richard Paatzsch;[]
1809;Wilhelm Seidel;[]
1810;Artur Pestner;[]
1811;Oskar Pfnister;[]
1812;Moritz Prescher Nachfolger Actiengesellschaft;[]
1813;Moritz Prescher Nachfolger Actiengesellschaft;[]
1814;Paul Schmidt;[]
1815;Paul Schmidt;[]
1816;Paul Schmidt;[]
1817;Schurig & Böttger;[]
1818;Otto Tröger;[]
1819;Trotte & Pohlenz;[]
1820;Hermann Velten;[]
1821;Weihmann & Weiße;[]
1822;Universitätsbibliothek;['2161280-8', '5082643-8', '7513720-3', '4275850-6', '6012109-9', '30026-3', '1027816398', '5258396-X', '2091320-5', '1090933614', '1156621879']
1823;Stadtbibliothek;['10094537-5', '62666-1', '1072973103', '5565729-1', '1092086609']
1824;Fachschule der Buchbinder-Innung;[]
1825;Bibliothek des deutschen Buchgewerbemuseums;[]
1826;Monotype-Setzmaschinen-Vertriebs-Gesellschaft m.b.H.;[]
1827;Öffentliche Buchhändler-Lehranstalt;['10078242-5']
1828;III. Städtische Fach- und Fortbildungsschule;[]
1829;Königliche Akademie für graphische Künste und Buchgewerbe;['11330-X', '5118563-5']
1830;Deutsche Zentralbücherei für Blinde;['1065101996', '2008337-3']
1831;Comenius-Bücherei;['506777-7', '1086398513']
1832;J. G. Fritzsche;[]
1833;J. G. Hellmer & Co.;[]
1834;J. G. Hellmer & Co.;[]
1835;Eugen Hartmann;[]
1836;Heydel & Herbst;[]
1837;Wilhelm Jänichen;[]
1838;Mehner & Maas;[]
1839;Merker & Nicklitzsch;[]
1840;J. Süptitz;[]
1841;Arnold Süßmilch;['1072964546']
1842;G. O. Francke;[]
1843;Leipziger Maler-Adreßbuch;[]
1844;Leipziger Meß-Adreßbuch;[]
1845;Offizielles Adreßbuch des Deutschen Buchhandels (Schulz);[]
1846;Verlag des Adressbuches von Deutschlands Handels-, Industrie- u. Export-Firmen, Theophil Weber;[]
1847;Adolf Wagner;[]
1848;Robert Baum jun.;[]
1849;P. H. Beyer & Sohn;[]
1850;G. Brauns jun.;[]
1851;Pietro Del Vecchio;['5323321-9']
1852;Dürerhaus Volkskunst;[]
1853;Hermann Findel;[]
1854;Paul Zschocher;['1072977362']
1855;Hartmann & Seifert;[]
1856;Adolf Klauß;[]
1857;Oswald Krempler;[]
1858;F. W. Mittentzwey-Windsch;[]
1859;Louis Pernitzsch;['1073002489']
1860;Otto Schlippe;[]
1861;Waldemar Schlüssel;[]
1862;F. Schröder;[]
1863;Paul Steinert (vorm. Carl Steinert);[]
1864;Hermann Vogel;['16093691-3']
1865;Max Both;[]
1866;Carl Drechsler;['1072973367']
1867;Fricke, Heino;[]
1868;Merfeld & Donner;[]
1869;Merfeld & Donner;[]
1870;Gustav Meyer & Co.;[]
1871;Original und Reproduktion, Verlag, Loose & Schluricke;[]
1872;Friedrich Pietsch;[]
1873;Otto Dietrich;['1072967545']
1874;Dürre & Wolfensteller;[]
1875;Rud. Gleißenberg;[]
1876;Görtitz Nachf., Richard;[]
1877;Arno Spitzner's Verlag;['1072883910']
1878;Arno Spitzner, Musikalien- und Bücherversandgeschäft;[]
1879;Emil Grude;['1072913666']
1880;Franz Jost;['1086218116']
1881;Jost, Franz;[]
1882;Otto Junne;['1072977001', '16038026-1']
1883;Otto Junne;['1072977001', '16038026-1']
1884;Carisch & Jänichen;[]
1885;Leipziger Bühnenverlag Erhard Schultz;[]
1886;Rudolf H. Pohl;[]
1887;Carl A. Lauterbach;[]
1888;C. F. Leede;[]
1889;Hermann Protze;['1073055043']
1890;F. E. C. Leuckart Sortiment (Martin Sander);[]
1891;Walter Lieniger;[]
1892;Alfred Mehner;['1073054683']
1893;Paul Ollendorff;[]
1894;P. Pabst;['107305456X', '1073065162', '1073001520']
1895;P. Pabst;['107305456X', '1073065162', '1073001520']
1896;L. Rohn Nachf.;[]
1897;Nestmann & Wittig;[]
1898;Otto Scherz;[]
1899;Carl Schubert;[]
1900;Otto Seele;['5331077-9']
1901;Rudolf Tanner;[]
1902;Winterling, William;[]
1903;Johann André;['1072977184']
1904;M. P. Belaieff;[]
1905;Wilhelm Hansen;['1087169488']
1906;Fr. Kistner;['1214461-7', '1073021866', '1073021858', '5318140-2', '1072891549', '1087170486']
1907;D. Rahter;['5127274-X', '1089034075']
1908;Bernhard Bieberkraut;[]
1909;Bosse, Bernhardine;[]
1910;Bosworth & Co.;[]
1911;Aug. Cranz;[]
1912;Ernst Eulenburg;['5004594-5', '6065807-1']
1913;Ernst Görs;[]
1914;Ernst Görs;[]
1915;Otto Forberg;['10101478-8']
1916;Hug & Co.;[]
1917;C. Schmidl & Co.;[]
1918;A. Kabatek;[]
1919;C. F. Kahnt Nachfolger;[]
1920;F. E. C. Leuckart;[]
1921;C. F. Peters, Bureau de Musique;[]
1922;Carl Rühle;['1073012522', '1072905523']
1923;Rühle & Wendling;[]
1924;Arthur P. Schmidt;[]
1925;B. Schott's Söhne, Zweigniederlassung Leipzig;[]
1926;Felix Siegel;['1072994836']
1927;J. Schuberth & Co.;[]
1928;Steingräber Verlag;['106428664X', '1072929120']
1929;Verlag der musikalischen Universial-Bibliothek u. Musiksortiment;[]
1930;Constantin Wild's Verlag;[]
1931;Bunt- & Luxuspapierfabr. Goldbach;[]
1932;Vonhof & Co.;[]
1933;F. W. Ebbinghaus G.m.b.H.;[]
1934;Ferd. Flinsch, G.m.b.H.;[]
1935;Ferd. Flinsch, G.m.b.H.;[]
1936;Ferd. Flinsch, G.m.b.H.;[]
1937;Ferd. Flinsch, G.m.b.H.;[]
1938;F. M. Weber;[]
1939;J. W. Zanders, Bergisch Gladbach, Zweigniederlassung Leipzig;[]
1940;Verlag der Deutschen Frau (Velhagen & Klasing);[]
1941;J. W. Zanders, Bergisch Gladbach, Zweigniederlassung Leipzig;[]
1942;Franz Berger;[]
1943;Franz Berger;[]
1944;Carl A. Bodenstein & Co.;[]
1945;Müller & Oschatz;[]
1946;Walter Berger;[]
1947;Walter Berger;[]
1948;F. Emil Bernhard Böhme;[]
1949;Eckert & Finck;[]
1950;Gerstenberger, G.;[]
1951;Haberland, Franz;[]
1952;F. O. Hartig;[]
1953;Wilhelm Held;[]
1954;Edmund Hoppe;[]
1955;Jentsch & Wilsenach;[]
1956;Kerngut & Apel;[]
1957;Selmar Kohl;[]
1958;Max Morgenstern;[]
1959;Paul Müller;[]
1960;Gustav Nickau;[]
1961;Poensgen & Heyer;[]
1962;Poetzsch, Bernhard Böhme Nachf., K. G.;[]
1963;Oscar Schoene;[]
1964;C. F. Paul Schultze;[]
1965;Otto Edmund Schuster;[]
1966;Richard Rühl;[]
1967;Fritz Sengebusch;[]
1968;Berth. Siegismund;['3039866-6']
1969;Anton Spindler;[]
1970;Oswald Süptitz;['1078869235']
1971;Hermann Weiss;['1073062325']
1972;F. A. Wölbling;[]
1973;Zeunert & Hoppe;[]
1974;Merseburger Buntpapierfabrik, Sebastian Heilmann, G.m.b.H.;[]
1975;A. Nees & Co., Aschaffenburg, Bunt- und Fantasiepapier-Fabrik. Vertreter: Ferdinand Faßbauer;[]
1976;Chromo-Papier- und Carton-Fabrik, vorm. Gustav Najork, Actiengesellschaft;[]
1977;F. Harazim;[]
1978;Reinhold Garve;[]
1979;A. Geilfuß;[]
1980;Max Schönefeld;[]
1981;Emil Seidel;['5553008-4']
1982;F. A. Sevin;[]
1983;Hans von Stern;['1122486839']
1984;Marie Steinweden;[]
1985;Felix Schlutius;[]
1986;Eugen von Asten Nachf.;[]
1987;Süß & Co.;[]
1988;Süß & Co.;[]
1989;Arthur Beyerlein;['107301360X']
1990;Arthur Beyerlein;['107301360X']
1991;Arthur Beyerlein;['107301360X']
1992;Otto Fischer;[]
1993;Frohn & Wippold;[]
1994;Franz Funk;[]
1995;Heinrich Jansen;[]
1996;Eduard Klemm;[]
1997;Schmidt & Römer;[]
1998;Herm. Winkler;[]
1999;Winkler & Voigt;[]
2000;Max Wohllebe;[]
2001;Bodenstein, Helene;[]
2002;F. G. Gerhardt;[]
2003;Robert Graul;[]
2004;Paul Steier;[]
2005;Paul Steier;[]
2006;Louis Clemens;[]
2007;Mildner & Zürn;[]
2008;Bernhard Schmidt;[]
2009;Bernhard Schmidt;[]
2010;Felix Friebel;[]
2011;Emil Göbel;[]
2012;Kunstanstalt Max Breslauer;[]
2013;Gutberlet & Co.;[]
2014;A. Gutberlet & Co.;[]
2015;Gebr. Bohemann;[]
2016;Gebr. Bohemann;[]
2017;Gebr. Bohemann;[]
2018;Gebr. Bohemann;[]
2019;Max Anders;[]
2020;Hilmar Apian-Bennewitz Verlag;[]
2021;A. Apitzsch;['1073032329']
2022;Böhlig & Herzog;[]
2023;E. Bohnert;[]
2024;Schnellpressenfabrik Hölzle & Bohnert;[]
2025;Gottfried Böttger;['5551424-8']
2026;Lehmann & Reichenbach;[]
2027;M. Brause;[]
2028;M. Brause;[]
2029;Walther Brause;[]
2030;Franz Brundtner;[]
2031;Emil Bürckner;[]
2032;Central-Verlag des Bezugsquellen-Verzeichnisses Josef Wichterich;[]
2033;Dermatoid-Werke Paul Meißner;['6097889-2']
2034;Felix Dietrich;['1072974665', '10101712-1']
2035;Eckardt & Co.;[]
2036;Josef Ardel;[]
2037;Eckert & Pflug;[]
2038;Georg Fritzsche;['113499382X']
2039;Alexander Schwarzenberg;[]
2040;Alexander Schwarzenberg;[]
2041;Alexander Schwarzenberg;[]
2042;Hugo Rösch;['1072947927']
2043;Vögele & Schultze;[]
2044;Theodor Eismann, G.m.b.H.;[]
2045;Theodor Eismann, G.m.b.H.;[]
2046;Wilhelm Engelmann;['1072892979', '1072893010', '5332203-4']
2047;Familien-Lesezirkel Siegfried Schussheim;[]
2048;Ernst Freitag;[]
2049;Albert Friedemann;[]
2050;Felix Gärtner Nachf.;[]
2051;Adolf Geist;[]
2052;Conrad Glaser;['1073012530']
2053;Conrad Glaser;['1073012530']
2054;Johannes Goetze;[]
2055;Gebr. Graetz, Inhaber Otto Guth;[]
2056;Graupner & Körner;[]
2057;Groitzscher Rohpappenfabrik G.m.b.H.;[]
2058;Curt Hahnemann;[]
2059;Ernst Hedrich Nachf., G.m.b.H.;[]
2060;Otto Wigand Verlagsbuchhandlung und Buchdruckerei m.b.H.;[]
2061;Otto Wigand Verlagsbuchhandlung und Buchdruckerei m.b.H.;[]
2062;E. A. Seemann;[]
2063;Ernst Hedrich Nachf., G.m.b.H.;[]
2064;Ramm & Seemann;[]
2065;Kirstein & Co.;[]
2066;Edgar Herfurth & Co.;[]
2067;Verlag und Druckerei der Leipziger Neuesten Nachrichten, Edgar Herfurth & Co., vormals Leipziger Nachrichten (G. Reusche);[]
2068;Verlag und Druckerei der Leipziger Neuesten Nachrichten, Edgar Herfurth & Co., vormals Leipziger Nachrichten (G. Reusche);[]
2069;Hindorf & Marx;[]
2070;Hindorf & Marx;[]
2071;Hindorf & Marx;[]
2072;Alfred Jahn;['4204692-0', '2100928-4']
2073;Oswald Kahnt;[]
2074;Gustav Kalmar;[]
2075;C. A. Klemm;[]
2076;Hugo Koch;[]
2077;Emil Kommen Nachf.;[]
2078;Ernst Koritzer;[]
2079;Alfred Krieger;[]
2080;Heinrich Krüger;[]
2081;Bruno Küchler Nachf.;[]
2082;Bruno Küchler Nachf.;[]
2083;Bruno Küchler;[]
2084;Richard Kühn;[]
2085;Carl Langenberg;[]
2086;"F. Laesecke, Verlag ""Unser Malergewerbe""";[]
2087;Leipziger Allerlei, Illustrirte Zeitung, Verlag von Ernst Sell;[]
2088;Leipziger Gerichtszeitung, L. Schumann;[]
2089;Leipziger Monatsschrift für Textil-Industrie, Theodor Martin;[]
2090;Der Textil-Exporteur, Theodor Martin;[]
2091;Die Textil-Industrie, Theodor Martin;[]
2092;Die Textil-Zeitung,Theodor Martin;[]
2093;Wochenschrift für Spinnerei u. Weberei, Theodor Martin;[]
2094;Zeitschrift für die Textil-Industrie, Theodor Martin;[]
2095;Leipziger Patent-Einbanddecken-Fabrik Adolf Bube;[]
2096;Leipziger Zeitung;['111151142X', '1051040744']
2097;Löbl & Wiener;[]
2098;Erwin Löffler Nachf.;[]
2099;Ch. Lorilleux & Co., Commandit-Gesellschaft auf Actien;[]
2100;Friedrich Maack;[]
2101;Malke & Schaaf;[]
2102;Malke & Schaaf;[]
2103;Robert Maennel;[]
2104;Wilhelm Mauke;['1072938626']
2105;Walter Morgenstern;[]
2106;Emil Mosig;[]
2107;J. Mößner;[]
2108;F. G. Mylius;[]
2109;F. G. Mylius;[]
2110;Albert Osterwald;[]
2111;Albert Osterwald;[]
2112;Heinrich Pagel;[]
2113;Dr. Iwan Parlapanoff;['1073001601']
2114;Karl Peter Nachf.;[]
2115;Karl Peter Nachf.;[]
2116;Kurt Petsch & Co., G.m.b.H.;[]
2117;Georg Petzoldt Nachf.;[]
2118;Georg Petzoldt Nachf.;[]
2119;Otto Pietrzick;[]
2120;Theodor Plenge;[]
2121;Max Plesse;[]
2122;Max Plesse;[]
2123;Armin Quehl;[]
2124;Armin Quehl;[]
2125;Räncker & Günther;[]
2126;Regel & Krug;[]
2127;Regel & Krug;[]
2128;Georg Ress;[]
2129;Rohrer & Klingner;[]
2130;Hermann Roßberger;[]
2131;Sächsische Reklame-Gesellschaft C. Koch & Co.;[]
2132;Saski'sche Zeitschrift für das Versicherungswesen, C. Saski;[]
2133;Hermann Scheibe;['1073062678']
2134;Karl Scheithauer's Verlag;[]
2135;August Scherl G.m.b.H.;[]
2136;Schindler & Teuchert;[]
2137;Hermann Schmidt, Verlag des Versicherungs-Sachverständigen im Dienste der Versicherten;[]
2138;"Verlag der ""Unfallversicherungs-Praxis"" H. Schmidt";[]
2139;Heinrich Otto Schmiel;[]
2140;Steiß & Freitag;[]
2141;Emil Trachbrodt Verlag;[]
2142;Trinks & Co.;[]
2143;Trinks & Co.;[]
2144;Verlag der Handels-Akademie, Friedrich Mester;[]
2145;Verlag der Werkstatt für neue deutsche Wortkunst Joahhes Weidenmüller;[]
2146;Verlag des geschäftskundigen Kaufmanns in der Genußmittelbranche G.m.b.H.;[]
2147;Verlag des Officiellen Hotel-Adreßbuchs u. Reiseführers des Reichsverbandes Deutscher Gastwirtsverbände G.m.b.H.;[]
2148;Bruno Volger, Verlagsbuchhandlung;[]
2149;Volger, Eduard;[]
2150;Theodor Wachs;[]
2151;Wanderer-Verlag, G.m.b.H.;[]
2152;Welt-Adressen-Verlag Emil Reiß;['16053099-4']
2153;Welt-Adressen-Verlag Emil Reiß;['16053099-4']
2154;Arthur Wendler;[]
2155;G. R. Wendler;[]
2156;David Häring;[]
2157;Winklers Papierhandlung;[]
2158;Oscar Sperling;['1072960478', '1072883740']
2159;Oscar Sperling;['1072960478', '1072883740']
2160;Oscar Sperling;['1072960478', '1072883740']
2161;Hans Wunder G.m.b.H.;[]
2162;Zangenberg & Himly's Journalistikum;[]
2163;E. M. Behrens;[]
2164;Paul Brack;[]
2165;C. A. Faber;[]
2166;Hugo Fülle;[]
2167;Alfred Funk;[]
2168;Otto Beißert;[]
2169;M. Hein's Nachf.;[]
2170;F. W. Haschke;[]
